date,open,high,low,close,volume
2006-10-19,1788.582,1799.294,1784.345,1792.253,4149060700
2006-10-18,1762.404,1787.743,1760.883,1787.185,3681056300
2006-10-17,1768.628,1777.598,1758.311,1763.901,3926234400
2006-10-16,1787.7,1789.175,1766.308,1771.299,4676616000
2006-10-13,1776.511,1792.868,1773.233,1784.656,4253984200
2006-10-12,1790.631,1792.239,1774.142,1778.181,5316904600
2006-10-11,1784.518,1792.761,1771.016,1790.104,4928388200
2006-10-10,1784.22,1793.141,1771.856,1784.862,5513649300
2006-10-09,1768.144,1786.11,1763.111,1785.385,5293514300
2006-09-29,1740.059,1755.691,1740.059,1752.424,4123628500
2006-09-28,1725.515,1740.787,1722.219,1736.963,3397985800
2006-09-27,1711.514,1725.501,1709.766,1725.039,2924715800
2006-09-26,1720.781,1721.584,1704.774,1712.637,3313453000
2006-09-25,1722.744,1732.279,1709.771,1722.366,4016809300
2006-09-22,1744.605,1746.615,1724.104,1725.361,4477782800
2006-09-21,1731.585,1743.63,1731.222,1740.901,3953314600
2006-09-20,1733.637,1737.734,1720.835,1732.453,3883657100
2006-09-19,1735.301,1743.021,1728.289,1735.241,4345533000
2006-09-18,1727.915,1733.413,1719.16,1732.987,4484006200
2006-09-15,1689.605,1722.66,1689.51,1721.045,4703230700
2006-09-14,1689.631,1696.622,1672.884,1689.692,3388825800
2006-09-13,1695.351,1713.989,1687.049,1689.389,4304569100
2006-09-12,1675.198,1699.585,1673.441,1695.862,3739045300
2006-09-11,1668.161,1675.094,1653.01,1674.966,3059052900
2006-09-08,1659.702,1671.308,1658.673,1667.984,2655202800
2006-09-07,1683.782,1683.89,1655.408,1661.19,3152275400
2006-09-06,1665.13,1672.26,1656.863,1672.121,3357962300
2006-09-05,1659.737,1669.901,1657.047,1664.078,4053349300
2006-09-04,1635.332,1657.691,1635.122,1657.52,3309342600
2006-09-01,1658.66,1660.518,1634.026,1636.691,3595457500
2006-08-31,1655.903,1661.473,1649.997,1658.638,3513501600
2006-08-30,1648.348,1656.232,1640.281,1655.195,3144285800
2006-08-29,1652.672,1667.53,1649.593,1651.024,4805041100
2006-08-28,1627.123,1651.289,1624.281,1650.438,3934124300
2006-08-25,1622.481,1630.047,1619.735,1623.034,2782161400
2006-08-24,1612.699,1623.169,1601.887,1623.017,2506129700
2006-08-23,1614.393,1621.399,1608.741,1612.396,2721290700
2006-08-22,1601.523,1619.074,1598.776,1613.355,2670121100
2006-08-21,1565.457,1602.13,1558.1,1601.15,2337431800
2006-08-18,1601.567,1614.365,1596.562,1598.018,2397424800
2006-08-17,1612.412,1612.412,1592.846,1603.332,2339190400
2006-08-16,1596.056,1616.453,1591.857,1616.41,2856399800
2006-08-15,1568.267,1596.653,1564.398,1595.657,2025921400
2006-08-14,1605.202,1611.661,1566.722,1570.738,2565505000
2006-08-11,1605.597,1610.763,1596.217,1605.926,2345146700
2006-08-10,1578.354,1606.943,1577.86,1606.065,2632313600
2006-08-09,1581.803,1585.173,1571.709,1578.566,2163603600
2006-08-08,1547.905,1581.753,1547.905,1580.577,2338299800
2006-08-07,1561.801,1570.054,1541.413,1547.436,2409920600
2006-08-04,1601.608,1612.1,1567.251,1570.15,2586705400
2006-08-03,1599.746,1609.425,1587.119,1601.058,2082229300
2006-08-02,1598.758,1608.777,1577.902,1600.872,2786576300
2006-08-01,1619.635,1625.044,1596.658,1600.614,3231066000
2006-07-31,1659.535,1659.535,1611.163,1612.733,3365448600
2006-07-28,1674.43,1678.527,1646.346,1662.031,3326896800
2006-07-27,1685.347,1701.611,1665.386,1675.168,3620183100
2006-07-26,1688.538,1691.429,1675.662,1686.654,3116723100
2006-07-25,1668.138,1690.613,1668.138,1685.461,3423780100
2006-07-24,1648.749,1667.617,1632.687,1665.944,3118400800
2006-07-21,1653.811,1669.288,1653.507,1665.328,2996048900
2006-07-20,1642.624,1658.054,1636.259,1655.122,2866119700
2006-07-19,1681.771,1681.771,1637.486,1645.16,3505983000
2006-07-18,1682.36,1684.672,1666.311,1684.252,3140535400
2006-07-17,1662.047,1684.344,1653.603,1682.887,3220393300
2006-07-14,1641.138,1676.754,1633.898,1665.208,4158780400
2006-07-13,1736.207,1737.595,1654.486,1655.773,6747158900
2006-07-12,1745.878,1753.275,1737.999,1740.0,4878589100
2006-07-11,1736.986,1746.724,1725.231,1745.806,4008545000
2006-07-10,1730.698,1737.031,1715.828,1734.329,3904952600
2006-07-07,1746.521,1750.028,1724.675,1730.19,4943012700
2006-07-06,1715.279,1742.204,1711.651,1741.47,5006266900
2006-07-05,1755.222,1757.472,1703.585,1718.555,6072080600
2006-07-04,1700.323,1702.658,1670.13,1681.547,5431649200
2006-07-03,1677.311,1697.83,1670.016,1697.282,4863659200
2006-06-30,1679.724,1690.953,1662.28,1672.211,4983707600
2006-06-29,1641.928,1672.101,1641.928,1671.618,5179902800
2006-06-28,1638.23,1642.354,1627.068,1639.286,3322060100
2006-06-27,1636.703,1642.571,1627.592,1639.551,3645178400
2006-06-26,1607.786,1635.803,1607.786,1633.449,3949925000
2006-06-23,1594.495,1608.108,1582.019,1605.711,3502677800
2006-06-22,1593.097,1605.252,1587.799,1596.066,3246588800
2006-06-21,1590.607,1617.714,1570.083,1598.116,3970588000
2006-06-20,1583.871,1592.832,1572.582,1592.332,3553711100
2006-06-19,1559.985,1591.85,1544.931,1586.286,3556204700
2006-06-16,1540.187,1574.475,1540.187,1574.467,3357261200
2006-06-15,1531.247,1551.3,1528.23,1533.98,2847339800
2006-06-14,1540.635,1540.635,1512.521,1531.327,3243810300
2006-06-13,1552.098,1570.1,1532.059,1548.495,3245068300
2006-06-12,1540.216,1566.447,1529.503,1552.798,3149627400
2006-06-09,1583.956,1594.438,1550.202,1551.384,4700391700
2006-06-08,1576.435,1596.122,1540.934,1591.49,5457687300
2006-06-07,1678.238,1678.238,1588.971,1589.545,6508531600
2006-06-06,1681.22,1692.825,1672.814,1679.126,5842296000
2006-06-05,1669.236,1685.292,1639.68,1684.624,6729777100
2006-06-02,1688.782,1695.58,1659.14,1669.399,7814469100
2006-06-01,1639.673,1684.709,1635.746,1684.195,6784386400
2006-05-31,1656.284,1667.233,1628.679,1641.3,5701597900
2006-05-30,1654.98,1663.929,1634.9,1657.288,5308773300
2006-05-29,1622.108,1648.838,1609.005,1648.538,5171516800
2006-05-26,1596.565,1614.553,1593.093,1613.894,4372253200
2006-05-25,1585.466,1598.559,1563.863,1591.425,4104937200
2006-05-24,1609.742,1634.59,1562.387,1590.924,5727043200
2006-05-23,1647.962,1648.528,1597.102,1604.552,6990014500
2006-05-22,1656.754,1674.221,1646.683,1657.689,7725887300
2006-05-19,1620.213,1664.614,1610.04,1659.545,7708629100
2006-05-18,1611.657,1630.073,1582.962,1617.281,6058510700
2006-05-17,1613.23,1640.695,1592.185,1625.146,7098053400
2006-05-16,1658.692,1678.599,1604.784,1613.251,8827504000
2006-05-15,1616.259,1664.938,1606.57,1664.088,8772527000
2006-05-12,1532.878,1603.211,1531.233,1602.832,6839375200
2006-05-11,1547.556,1583.761,1536.292,1537.377,7321833500
2006-05-10,1537.561,1554.034,1518.335,1545.687,6271709600
2006-05-09,1503.239,1532.754,1497.994,1531.161,6468390400
2006-05-08,1446.992,1497.202,1446.992,1497.104,5162065500
2006-04-28,1403.523,1444.714,1389.346,1440.223,4456204300
2006-04-27,1418.903,1424.465,1407.141,1416.732,3760844400
2006-04-26,1399.068,1426.626,1397.349,1417.477,4841064900
2006-04-25,1405.898,1409.274,1386.126,1399.767,4324883600
2006-04-24,1423.409,1429.056,1402.269,1409.786,5201580300
2006-04-21,1385.923,1419.891,1383.45,1416.793,4556910300
2006-04-20,1398.098,1404.192,1376.961,1385.9,4330328800
2006-04-19,1389.134,1399.547,1378.796,1396.702,4057816300
2006-04-18,1379.813,1391.378,1370.153,1385.114,3678518100
2006-04-17,1360.644,1383.654,1353.396,1378.614,4221976100
2006-04-14,1330.095,1360.094,1328.435,1359.538,3787121900
2006-04-13,1359.278,1364.316,1331.682,1332.33,4129905500
2006-04-12,1361.741,1364.691,1355.655,1360.132,3712907200
2006-04-11,1360.978,1366.523,1350.323,1362.229,4387040800
2006-04-10,1344.239,1359.408,1339.523,1359.081,4141542800
2006-04-07,1340.646,1345.291,1330.513,1342.965,4066605500
2006-04-06,1341.736,1348.52,1336.138,1339.737,4171507500
2006-04-05,1330.561,1341.504,1326.533,1340.162,3776319800
2006-04-04,1319.837,1330.105,1315.331,1329.798,3713405000
2006-04-03,1298.684,1319.485,1298.684,1319.471,3280466900
2006-03-31,1291.518,1298.751,1285.735,1298.295,2663685800
2006-03-30,1305.843,1308.496,1293.829,1294.718,2603882700
2006-03-29,1299.383,1313.125,1296.59,1305.567,3415223600
2006-03-28,1295.76,1302.648,1293.0,1298.791,2501182600
2006-03-27,1296.066,1296.593,1283.682,1295.915,2061324600
2006-03-24,1302.141,1308.057,1293.296,1294.704,2442393600
2006-03-23,1296.194,1302.791,1289.525,1302.457,2546540800
2006-03-22,1289.461,1296.912,1281.128,1296.706,2233009000
2006-03-21,1288.555,1297.608,1285.431,1290.395,2434568700
2006-03-20,1269.581,1288.971,1264.41,1288.418,2029717400
2006-03-17,1273.01,1276.628,1265.606,1269.462,1875480400
2006-03-16,1274.615,1277.194,1270.831,1274.19,1832269900
2006-03-15,1259.231,1275.515,1258.146,1274.812,1845126900
2006-03-14,1260.422,1262.752,1250.277,1259.044,1487571200
2006-03-13,1245.3,1260.071,1245.3,1259.674,1377515300
2006-03-10,1245.188,1253.911,1240.751,1245.653,1409562600
2006-03-09,1247.462,1253.758,1242.681,1245.166,1538593400
2006-03-08,1256.685,1258.239,1238.156,1250.384,1984157400
2006-03-07,1288.255,1288.255,1257.54,1259.916,2265339500
2006-03-06,1292.747,1296.847,1286.644,1288.955,2032958200
2006-03-03,1284.606,1295.411,1275.624,1293.297,2492545800
2006-03-02,1306.585,1307.639,1281.571,1285.666,2844572900
2006-03-01,1299.154,1308.196,1297.763,1306.586,2364067400
2006-02-28,1294.807,1299.473,1277.741,1299.03,2364742200
2006-02-27,1297.687,1304.613,1293.467,1297.186,2681978500
2006-02-24,1289.434,1297.343,1286.962,1296.866,2357814800
2006-02-23,1284.13,1289.943,1273.942,1288.847,2287504700
2006-02-22,1288.853,1297.939,1282.91,1284.226,2851784100
2006-02-21,1266.645,1288.546,1256.808,1288.419,2665902100
2006-02-20,1268.107,1279.423,1265.38,1267.542,2154279700
2006-02-17,1269.4,1280.041,1265.141,1267.408,2590306700
2006-02-16,1298.497,1298.497,1268.564,1270.633,3235260700
2006-02-15,1289.138,1300.995,1288.637,1299.166,3014790400
2006-02-14,1279.627,1286.421,1275.85,1286.327,2254170400
2006-02-13,1283.776,1284.951,1267.561,1279.64,2613177200
2006-02-10,1269.536,1284.096,1266.225,1282.656,2631421100
2006-02-09,1288.966,1288.966,1266.811,1269.454,2907909100
2006-02-08,1282.121,1291.737,1276.02,1290.055,3285729900
2006-02-07,1289.453,1297.404,1270.404,1282.096,3840474100
2006-02-06,1263.003,1287.665,1263.003,1287.626,2917750700
2006-01-25,1251.269,1260.174,1245.916,1258.046,2655866000
2006-01-24,1256.005,1262.087,1247.007,1252.062,2967142100
2006-01-23,1254.777,1257.347,1244.274,1255.774,2902866000
2006-01-20,1251.409,1258.698,1247.205,1255.308,3320392300
2006-01-19,1235.083,1251.957,1230.85,1251.576,3361774900
2006-01-18,1207.525,1234.529,1206.359,1233.35,2666785400
2006-01-17,1200.255,1209.024,1198.839,1208.438,1972646200
2006-01-16,1221.11,1221.386,1202.587,1202.869,2527431800
2006-01-13,1228.157,1231.223,1214.881,1221.459,2770857800
2006-01-12,1208.766,1227.302,1205.283,1226.704,2701891600
2006-01-11,1219.811,1223.559,1204.041,1211.053,3063146400
2006-01-10,1215.848,1220.756,1203.651,1220.618,2679454700
2006-01-09,1210.32,1217.314,1205.248,1215.668,2870665700
2006-01-06,1198.811,1215.536,1191.614,1209.422,3434285600
2006-01-05,1183.305,1197.837,1180.451,1197.269,2948447900
2006-01-04,1163.878,1181.004,1161.906,1180.963,2325854200
2005-12-30,1171.575,1173.064,1158.966,1161.057,2002793400
2005-12-29,1157.506,1169.867,1157.505,1169.862,2180339900
2005-12-28,1155.117,1157.197,1149.271,1157.034,1468028600
2005-12-27,1157.489,1158.163,1149.847,1154.288,1567388300
2005-12-26,1145.77,1159.782,1145.337,1156.823,1865313300
2005-12-23,1135.705,1144.938,1135.074,1144.871,1447255300
2005-12-22,1129.564,1136.001,1125.954,1135.238,1112153900
2005-12-21,1135.977,1142.393,1128.943,1130.759,1229232200
2005-12-20,1131.796,1136.386,1126.991,1136.342,1171271000
2005-12-19,1127.837,1134.5,1123.504,1131.751,1222867800
2005-12-16,1122.733,1127.941,1118.936,1127.508,1261077700
2005-12-15,1125.672,1134.853,1121.556,1123.555,1682425900
2005-12-14,1117.47,1127.629,1110.206,1125.387,1502212400
2005-12-13,1115.765,1119.421,1106.749,1117.846,1137609200
2005-12-12,1115.751,1118.525,1109.082,1116.367,1194463700
2005-12-09,1097.515,1114.584,1094.738,1113.477,1348701000
2005-12-08,1100.685,1106.342,1092.992,1098.323,1039870900
2005-12-07,1087.741,1100.048,1086.733,1099.615,1038938300
2005-12-06,1077.578,1089.594,1074.007,1087.794,1105274500
2005-12-05,1093.101,1093.101,1077.405,1079.197,1122496500
2005-12-02,1099.756,1102.759,1089.562,1094.287,1063697400
2005-12-01,1098.784,1104.563,1094.438,1098.747,893211900
2005-11-30,1095.299,1099.577,1090.723,1099.261,1087597500
2005-11-29,1109.569,1110.305,1095.344,1096.986,1187993800
2005-11-28,1113.829,1119.345,1106.943,1110.823,1285240800
2005-11-25,1113.283,1115.081,1107.213,1114.916,1550915000
2005-11-24,1105.335,1117.944,1103.763,1113.374,1714095800
2005-11-23,1096.56,1106.477,1093.952,1105.746,1260191900
2005-11-22,1119.689,1119.689,1098.495,1098.655,1464680500
2005-11-21,1117.776,1122.879,1114.243,1119.936,1554390600
2005-11-18,1095.521,1122.61,1093.529,1116.999,2248062900
2005-11-17,1094.878,1098.675,1090.355,1095.31,1196180200
2005-11-16,1086.826,1096.297,1075.431,1095.89,1260864600
2005-11-15,1088.512,1099.029,1082.507,1087.508,1221575300
2005-11-14,1089.559,1089.709,1083.023,1088.653,920268800
2005-11-11,1085.694,1094.307,1078.583,1090.195,1256003200
2005-11-10,1106.944,1106.944,1086.1,1088.301,1615598500
2005-11-09,1110.547,1117.063,1107.642,1108.153,1672545300
2005-11-08,1099.94,1111.119,1092.539,1110.147,1531116400
2005-11-07,1099.527,1100.952,1089.829,1100.65,1208227900
2005-11-04,1094.258,1100.43,1087.845,1100.045,1278313800
2005-11-03,1104.594,1111.437,1090.821,1095.273,1686269400
2005-11-02,1089.997,1108.884,1089.997,1104.792,1876477900
2005-11-01,1091.677,1094.153,1074.298,1089.95,1398550100
2005-10-31,1079.04,1096.149,1078.285,1092.817,1483514200
2005-10-28,1097.585,1102.023,1067.407,1080.867,1797392900
2005-10-27,1093.93,1101.269,1087.484,1097.782,1720374200
2005-10-26,1119.429,1119.429,1094.571,1097.161,1921183500
2005-10-25,1140.173,1140.173,1121.286,1121.918,1692991400
2005-10-24,1141.331,1143.459,1133.92,1141.171,1727591300
2005-10-21,1135.61,1145.99,1132.358,1141.318,1801115400
2005-10-20,1133.453,1136.314,1119.378,1135.949,1737181700
2005-10-19,1141.052,1150.594,1132.479,1134.608,1890839900
2005-10-18,1131.263,1142.037,1129.669,1141.201,1892809000
2005-10-17,1138.379,1138.379,1121.968,1131.375,1513523800
2005-10-14,1152.374,1154.32,1135.509,1139.547,1514599900
2005-10-13,1162.023,1165.355,1152.089,1152.607,1690523900
2005-10-12,1157.485,1165.666,1152.251,1161.853,1846723100
2005-10-11,1137.948,1157.303,1133.895,1157.192,1342656000
2005-10-10,1153.672,1153.672,1137.289,1138.95,1172006500
2005-09-30,1156.77,1158.698,1150.627,1155.614,1449348100
2005-09-29,1134.441,1155.777,1134.441,1155.485,1853699200
2005-09-28,1131.317,1142.49,1129.054,1131.774,1475154300
2005-09-27,1155.053,1157.799,1132.527,1133.237,1809362900
2005-09-26,1150.933,1155.604,1147.268,1155.042,1453813300
2005-09-23,1157.295,1164.599,1149.745,1151.98,1877439400
2005-09-22,1185.688,1185.688,1147.194,1159.96,2860227400
2005-09-21,1210.852,1210.852,1186.981,1187.988,3179946400
2005-09-20,1222.255,1223.565,1204.869,1212.617,3230069200
2005-09-19,1213.486,1220.974,1210.188,1220.627,2465689300
2005-09-16,1217.419,1217.758,1208.561,1212.947,2239722500
2005-09-15,1217.519,1218.941,1210.718,1217.281,2721749200
2005-09-14,1209.267,1217.413,1204.546,1217.261,3224376100
2005-09-13,1188.25,1207.401,1186.22,1207.164,2591370500
2005-09-12,1189.747,1191.933,1181.434,1188.212,1709668900
2005-09-09,1194.495,1204.456,1184.423,1189.625,2215574600
2005-09-08,1196.273,1201.463,1184.788,1194.411,3052805600
2005-09-07,1170.77,1194.586,1168.581,1194.309,2860285100
2005-09-06,1197.231,1201.824,1172.064,1173.322,3368527300
2005-09-05,1189.065,1196.866,1184.011,1196.224,2670006600
2005-09-02,1187.062,1188.913,1179.109,1188.848,2892049000
2005-09-01,1163.7,1185.76,1160.048,1184.933,3383047500
2005-08-31,1145.813,1163.524,1140.099,1162.798,2167609900
2005-08-30,1151.621,1153.765,1145.272,1146.385,1855186200
2005-08-29,1171.999,1172.014,1147.934,1154.428,2433319500
2005-08-26,1173.01,1174.537,1163.991,1171.86,2429635600
2005-08-25,1167.999,1172.69,1157.183,1172.475,2423209800
2005-08-24,1151.448,1171.434,1151.448,1167.137,2267410900
2005-08-23,1158.829,1159.631,1139.239,1149.957,2184070800
2005-08-22,1148.972,1162.04,1142.678,1158.597,2403319800
2005-08-19,1144.459,1157.37,1132.865,1150.184,3150118500
2005-08-18,1194.436,1201.755,1146.561,1148.035,4920149600
2005-08-17,1175.176,1193.568,1160.082,1192.834,3230734100
2005-08-16,1188.02,1192.917,1170.11,1177.278,3315537900
2005-08-15,1167.033,1187.797,1163.848,1187.006,3031951900
2005-08-12,1185.266,1192.049,1161.787,1167.915,4047875500
2005-08-11,1165.443,1184.256,1164.104,1183.579,3696703700
2005-08-10,1153.209,1165.127,1144.95,1165.033,3142711500
2005-08-09,1139.122,1152.94,1130.585,1152.534,2715409100
2005-08-08,1131.803,1146.727,1131.803,1138.882,3023752600
2005-08-05,1102.62,1129.068,1102.596,1128.743,2709606900
2005-08-04,1104.91,1108.163,1099.134,1102.589,1943679800
2005-08-03,1106.317,1120.679,1103.904,1107.699,3143645400
2005-08-02,1089.528,1104.044,1084.796,1104.038,1901501900
2005-08-01,1082.796,1094.151,1081.118,1088.948,1473155100
2005-07-29,1084.972,1088.476,1077.122,1083.033,1768394400
2005-07-28,1090.11,1097.634,1083.357,1086.548,2469584700
2005-07-27,1072.564,1090.185,1068.497,1089.909,2381234800
2005-07-26,1046.536,1078.056,1046.536,1072.807,2557751000
2005-07-25,1045.269,1048.974,1040.592,1045.4,1413410800
2005-07-22,1026.129,1054.635,1024.001,1046.321,2548834900
2005-07-21,1020.693,1022.044,1009.986,1020.632,1114036000
2005-07-20,1013.984,1025.103,1008.682,1021.052,1056855900
2005-07-19,1011.005,1020.675,1004.657,1014.355,988231600
2005-07-18,1023.38,1023.38,1008.521,1012.097,1096484200
2005-07-15,1039.609,1046.364,1021.986,1026.115,1275051400
2005-07-14,1035.527,1049.881,1033.165,1040.416,1257109300
2005-07-13,1044.578,1045.943,1033.81,1037.394,1282197400
2005-07-12,1007.901,1048.918,1004.081,1046.161,1845780500
2005-07-11,1026.79,1043.207,1009.038,1011.499,1133036100
2005-07-08,1036.412,1036.412,1015.399,1017.983,1033736700
2005-07-07,1033.218,1044.053,1030.498,1038.597,857042600
2005-07-06,1040.699,1044.779,1028.22,1033.545,919642800
2005-07-05,1043.883,1047.823,1032.515,1039.043,1049488500
2005-07-04,1050.242,1050.242,1030.179,1047.278,1227595800
2005-07-01,1077.313,1077.313,1053.631,1055.594,1359781400
2005-06-30,1103.477,1103.477,1078.1,1080.938,1378595900
2005-06-29,1111.667,1113.522,1103.906,1104.992,1346937900
2005-06-28,1120.945,1120.945,1105.341,1108.588,1345843100
2005-06-27,1108.465,1129.959,1108.465,1124.64,2184238100
2005-06-24,1091.989,1102.23,1087.693,1101.882,1112107500
2005-06-23,1100.559,1106.749,1092.478,1093.702,1148488600
2005-06-22,1098.958,1103.249,1090.745,1102.033,1235145300
2005-06-21,1115.665,1115.665,1098.904,1101.486,1547809000
2005-06-20,1087.849,1115.862,1073.41,1115.62,2146861900
2005-06-17,1090.114,1094.669,1079.078,1085.61,1675256200
2005-06-16,1071.772,1086.348,1064.027,1086.01,1448308300
2005-06-15,1090.458,1090.458,1070.065,1072.836,1526763300
2005-06-14,1108.337,1119.676,1092.402,1093.464,1836825500
2005-06-13,1105.961,1112.101,1085.866,1106.291,1920377900
2005-06-10,1130.554,1130.554,1101.828,1108.286,2841080100
2005-06-09,1118.806,1146.417,1103.681,1131.052,4069092800
2005-06-08,1044.179,1118.694,1040.158,1115.582,4028285200
2005-06-07,1036.617,1055.629,1029.539,1030.941,1570305300
2005-06-06,1010.381,1034.853,998.228,1034.378,1104359900
2005-06-03,1013.903,1019.922,1000.522,1013.637,1001626800
2005-06-02,1036.73,1036.73,1008.754,1016.063,1146555600
2005-06-01,1059.61,1063.518,1035.706,1039.187,1006249000
2005-05-31,1061.612,1070.502,1057.748,1060.738,923922400
2005-05-30,1049.721,1063.947,1043.276,1060.162,859981600
2005-05-27,1056.323,1068.211,1050.055,1051.946,1014625100
2005-05-26,1071.212,1077.441,1055.816,1058.867,949855600
2005-05-25,1072.521,1082.179,1064.875,1072.137,980759700
